,Count Type,Hill Coefficient,Minimum Response,EC50,residuals,Cell Line,Drug,logEC50
0,Lum,30.42428919,-0.209767599,0.000345539,9.53131204,H1048,barasertib,-3.461503524
1,Lum,1.331175305,0.637912164,0.018935874,13.09740045,H1048,hygromycin_b,-1.722714635
2,Lum,2.428720851,0.238003597,0.001045373,12.03294479,H1048,trametinib,-2.980728541
3,Lum,7.225893023,-0.214340916,0.000199758,13.98209677,H1048,SCH-1473759,-3.699494999
4,Lum,2.882482617,-0.171272547,0.000191306,4.346140974,H1048,YM-155,-3.718270528
5,Lum,24.38600481,-0.191431196,0.000343119,16.3458526,H1048,TAK-901,-3.464555369
6,Lum,5.741255765,-0.06882838,0.000247144,14.0506429,H1048,SNS-314,-3.607049794
7,Lum,7.01733226,-0.267871189,0.000215183,23.1498868,H841,barasertib,-3.667192925
8,Lum,3.55409339,-0.851038407,3.035150393,17.36616378,H841,hygromycin_b,0.482180215
9,Lum,1.840770008,-0.28074435,0.000463575,17.40095711,H841,trametinib,-3.333880049
10,Lum,8.857832956,-0.36142795,0.000227891,59.18431936,H841,SCH-1473759,-3.642272322
11,Lum,4.453927373,-0.677825393,0.000272276,85.17495005,H841,YM-155,-3.564990184
12,Lum,5.733720208,-0.377881971,0.000395674,13.58603869,H841,TAK-901,-3.402662141
13,Lum,6.313587544,-0.374742545,0.000314503,14.26913206,H841,SNS-314,-3.50237473
14,Lum,3.628089337,-1.856611802,1.650028301,1395.695639,DMS53,barasertib,0.217491393
15,Lum,32.61980202,0.860534344,0.000622021,117.3595448,DMS53,hygromycin_b,-3.206195252
16,Lum,2.362277357,-0.656808779,0.000384064,85.69251371,DMS53,trametinib,-3.41559598
17,Lum,0.461830847,-4.43009054,0.069757405,47.34572095,DMS53,SCH-1473759,-1.156409681
18,Lum,1.969159184,-0.55334541,0.000176659,34.54117779,DMS53,YM-155,-3.752865409
19,Lum,0.468249134,-5,0.094934635,45.0027914,DMS53,TAK-901,-1.022575317
20,Lum,1.797757662,-5,0.022088467,138.6411541,DMS53,SNS-314,-1.655834428
21,Lum,0.529360444,-5,0.104273437,43.27268315,DMS53,vemurafenib,-0.981826313
22,Lum,32.26863449,-0.078932724,0.000313119,9.811440209,DMS114,barasertib,-3.504291209
23,Lum,4.196390878,-0.106360443,0.000129451,1.942031747,DMS114,AMG-900,-3.887896029
24,Lum,32.98457555,-0.087640439,0.000362137,4.719103649,DMS114,TAK-901,-3.441126749
25,Lum,26.62155268,-0.040551705,0.000837352,13.5359734,DMS114,YM-155,-3.077091781
26,Lum,1.388542513,-0.084516638,0.000249746,6.895585112,DMS114,SCH-1473759,-3.602502041
