well	cell.line	drug1	drug1.conc	drug1.units
A01				M
A02				M
A03				M
A04				M
A05				M
A06				M
A07				M
A08				M
A09				M
A10				M
A11				M
A12				M
A13				M
A14				M
A15				M
A16				M
A17				M
A18				M
A19				M
A20				M
A21				M
A22				M
A23				M
A24				M
B01				M
B02				M
B03				M
B04				M
B05				M
B06				M
B07				M
B08				M
B09				M
B10				M
B11				M
B12				M
B13				M
B14				M
B15				M
B16				M
B17				M
B18				M
B19				M
B20				M
B21				M
B22				M
B23				M
B24				M
C01				M
C02	DMS53	TAK-901	0	M
C03	DMS53	TAK-901	0.00000996	M
C04	DMS53	TAK-901	0.00000249	M
C05	DMS53	TAK-901	6.23e-7	M
C06	DMS53	TAK-901	1.56e-7	M
C07	DMS53	TAK-901	3.89e-8	M
C08	DMS53	TAK-901	9.34e-9	M
C09	DMS53	TAK-901	2.33e-9	M
C10	DMS53	TAK-901	6.23e-10	M
C11	DMS53	TAK-901	1.56e-10	M
C12	DMS53	TAK-901	7.78e-11	M
C13	DMS53	Barasertib (AZD1152-H	0	M
C14	DMS53	Barasertib (AZD1152-H	0.00000996	M
C15	DMS53	Barasertib (AZD1152-H	0.00000249	M
C16	DMS53	Barasertib (AZD1152-H	6.23e-7	M
C17	DMS53	Barasertib (AZD1152-H	1.56e-7	M
C18	DMS53	Barasertib (AZD1152-H	3.89e-8	M
C19	DMS53	Barasertib (AZD1152-H	9.34e-9	M
C20	DMS53	Barasertib (AZD1152-H	2.33e-9	M
C21	DMS53	Barasertib (AZD1152-H	6.23e-10	M
C22	DMS53	Barasertib (AZD1152-H	1.56e-10	M
C23	DMS53	Barasertib (AZD1152-H	7.78e-11	M
C24				M
D01				M
D02	DMS53	SCH-1473759	0	M
D03	DMS53	SCH-1473759	0.00000996	M
D04	DMS53	SCH-1473759	0.00000249	M
D05	DMS53	SCH-1473759	6.23e-7	M
D06	DMS53	SCH-1473759	1.56e-7	M
D07	DMS53	SCH-1473759	3.89e-8	M
D08	DMS53	SCH-1473759	9.34e-9	M
D09	DMS53	SCH-1473759	2.33e-9	M
D10	DMS53	SCH-1473759	6.23e-10	M
D11	DMS53	SCH-1473759	1.56e-10	M
D12	DMS53	SCH-1473759	7.78e-11	M
D13	DMS53	SNS-314	0	M
D14	DMS53	SNS-314	0.00000996	M
D15	DMS53	SNS-314	0.00000249	M
D16	DMS53	SNS-314	6.23e-7	M
D17	DMS53	SNS-314	1.56e-7	M
D18	DMS53	SNS-314	3.89e-8	M
D19	DMS53	SNS-314	9.34e-9	M
D20	DMS53	SNS-314	2.33e-9	M
D21	DMS53	SNS-314	6.23e-10	M
D22	DMS53	SNS-314	1.56e-10	M
D23	DMS53	SNS-314	7.78e-11	M
D24				M
E01				M
E02	DMS53	YM-155	0	M
E03	DMS53	YM-155	0.00000996	M
E04	DMS53	YM-155	0.00000249	M
E05	DMS53	YM-155	6.23e-7	M
E06	DMS53	YM-155	1.56e-7	M
E07	DMS53	YM-155	3.89e-8	M
E08	DMS53	YM-155	9.34e-9	M
E09	DMS53	YM-155	2.33e-9	M
E10	DMS53	YM-155	6.23e-10	M
E11	DMS53	YM-155	1.56e-10	M
E12	DMS53	YM-155	7.78e-11	M
E13	DMS53	SNS-314	0	M
E14	DMS53	SNS-314	0.00000996	M
E15	DMS53	SNS-314	0.00000249	M
E16	DMS53	SNS-314	6.23e-7	M
E17	DMS53	SNS-314	1.56e-7	M
E18	DMS53	SNS-314	3.89e-8	M
E19	DMS53	SNS-314	9.34e-9	M
E20	DMS53	SNS-314	2.33e-9	M
E21	DMS53	SNS-314	6.23e-10	M
E22	DMS53	SNS-314	1.56e-10	M
E23	DMS53	SNS-314	7.78e-11	M
E24				M
F01				M
F02	DMS53	vemurafenib	0	M
F03	DMS53	vemurafenib	0.00000996	M
F04	DMS53	vemurafenib	0.00000249	M
F05	DMS53	vemurafenib	6.23e-7	M
F06	DMS53	vemurafenib	1.56e-7	M
F07	DMS53	vemurafenib	3.89e-8	M
F08	DMS53	vemurafenib	9.34e-9	M
F09	DMS53	vemurafenib	2.33e-9	M
F10	DMS53	vemurafenib	6.23e-10	M
F11	DMS53	vemurafenib	1.56e-10	M
F12	DMS53	vemurafenib	7.78e-11	M
F13	DMS53	hygromycin_b	0	M
F14	DMS53	hygromycin_b	0.00000996	M
F15	DMS53	hygromycin_b	0.00000249	M
F16	DMS53	hygromycin_b	6.23e-7	M
F17	DMS53	hygromycin_b	1.56e-7	M
F18	DMS53	hygromycin_b	3.89e-8	M
F19	DMS53	hygromycin_b	9.34e-9	M
F20	DMS53	hygromycin_b	2.33e-9	M
F21	DMS53	hygromycin_b	6.23e-10	M
F22	DMS53	hygromycin_b	1.56e-10	M
F23	DMS53	hygromycin_b	7.78e-11	M
F24				M
G01				M
G02	DMS53	TAK-901	0	M
G03	DMS53	TAK-901	0.00000996	M
G04	DMS53	TAK-901	0.00000249	M
G05	DMS53	TAK-901	6.23e-7	M
G06	DMS53	TAK-901	1.56e-7	M
G07	DMS53	TAK-901	3.89e-8	M
G08	DMS53	TAK-901	9.34e-9	M
G09	DMS53	TAK-901	2.33e-9	M
G10	DMS53	TAK-901	6.23e-10	M
G11	DMS53	TAK-901	1.56e-10	M
G12	DMS53	TAK-901	7.78e-11	M
G13	DMS53	Barasertib (AZD1152-H	0	M
G14	DMS53	Barasertib (AZD1152-H	0.00000996	M
G15	DMS53	Barasertib (AZD1152-H	0.00000249	M
G16	DMS53	Barasertib (AZD1152-H	6.23e-7	M
G17	DMS53	Barasertib (AZD1152-H	1.56e-7	M
G18	DMS53	Barasertib (AZD1152-H	3.89e-8	M
G19	DMS53	Barasertib (AZD1152-H	9.34e-9	M
G20	DMS53	Barasertib (AZD1152-H	2.33e-9	M
G21	DMS53	Barasertib (AZD1152-H	6.23e-10	M
G22	DMS53	Barasertib (AZD1152-H	1.56e-10	M
G23	DMS53	Barasertib (AZD1152-H	7.78e-11	M
G24				M
H01				M
H02	DMS53	SCH-1473759	0	M
H03	DMS53	SCH-1473759	0.00000996	M
H04	DMS53	SCH-1473759	0.00000249	M
H05	DMS53	SCH-1473759	6.23e-7	M
H06	DMS53	SCH-1473759	1.56e-7	M
H07	DMS53	SCH-1473759	3.89e-8	M
H08	DMS53	SCH-1473759	9.34e-9	M
H09	DMS53	SCH-1473759	2.33e-9	M
H10	DMS53	SCH-1473759	6.23e-10	M
H11	DMS53	SCH-1473759	1.56e-10	M
H12	DMS53	SCH-1473759	7.78e-11	M
H13	DMS53	SNS-314	0	M
H14	DMS53	SNS-314	0.00000996	M
H15	DMS53	SNS-314	0.00000249	M
H16	DMS53	SNS-314	6.23e-7	M
H17	DMS53	SNS-314	1.56e-7	M
H18	DMS53	SNS-314	3.89e-8	M
H19	DMS53	SNS-314	9.34e-9	M
H20	DMS53	SNS-314	2.33e-9	M
H21	DMS53	SNS-314	6.23e-10	M
H22	DMS53	SNS-314	1.56e-10	M
H23	DMS53	SNS-314	7.78e-11	M
H24				M
I01				M
I02	DMS53	YM-155	0	M
I03	DMS53	YM-155	0.00000996	M
I04	DMS53	YM-155	0.00000249	M
I05	DMS53	YM-155	6.23e-7	M
I06	DMS53	YM-155	1.56e-7	M
I07	DMS53	YM-155	3.89e-8	M
I08	DMS53	YM-155	9.34e-9	M
I09	DMS53	YM-155	2.33e-9	M
I10	DMS53	YM-155	6.23e-10	M
I11	DMS53	YM-155	1.56e-10	M
I12	DMS53	YM-155	7.78e-11	M
I13	DMS53	SNS-314	0	M
I14	DMS53	SNS-314	0.00000996	M
I15	DMS53	SNS-314	0.00000249	M
I16	DMS53	SNS-314	6.23e-7	M
I17	DMS53	SNS-314	1.56e-7	M
I18	DMS53	SNS-314	3.89e-8	M
I19	DMS53	SNS-314	9.34e-9	M
I20	DMS53	SNS-314	2.33e-9	M
I21	DMS53	SNS-314	6.23e-10	M
I22	DMS53	SNS-314	1.56e-10	M
I23	DMS53	SNS-314	7.78e-11	M
I24				M
J01				M
J02	DMS53	vemurafenib	0	M
J03	DMS53	vemurafenib	0.00000996	M
J04	DMS53	vemurafenib	0.00000249	M
J05	DMS53	vemurafenib	6.23e-7	M
J06	DMS53	vemurafenib	1.56e-7	M
J07	DMS53	vemurafenib	3.89e-8	M
J08	DMS53	vemurafenib	9.34e-9	M
J09	DMS53	vemurafenib	2.33e-9	M
J10	DMS53	vemurafenib	6.23e-10	M
J11	DMS53	vemurafenib	1.56e-10	M
J12	DMS53	vemurafenib	7.78e-11	M
J13	DMS53	hygromycin_b	0	M
J14	DMS53	hygromycin_b	0.00000996	M
J15	DMS53	hygromycin_b	0.00000249	M
J16	DMS53	hygromycin_b	6.23e-7	M
J17	DMS53	hygromycin_b	1.56e-7	M
J18	DMS53	hygromycin_b	3.89e-8	M
J19	DMS53	hygromycin_b	9.34e-9	M
J20	DMS53	hygromycin_b	2.33e-9	M
J21	DMS53	hygromycin_b	6.23e-10	M
J22	DMS53	hygromycin_b	1.56e-10	M
J23	DMS53	hygromycin_b	7.78e-11	M
J24				M
K01				M
K02	DMS53	TAK-901	0	M
K03	DMS53	TAK-901	0.00000996	M
K04	DMS53	TAK-901	0.00000249	M
K05	DMS53	TAK-901	6.23e-7	M
K06	DMS53	TAK-901	1.56e-7	M
K07	DMS53	TAK-901	3.89e-8	M
K08	DMS53	TAK-901	9.34e-9	M
K09	DMS53	TAK-901	2.33e-9	M
K10	DMS53	TAK-901	6.23e-10	M
K11	DMS53	TAK-901	1.56e-10	M
K12	DMS53	TAK-901	7.78e-11	M
K13	DMS53	Barasertib (AZD1152-H	0	M
K14	DMS53	Barasertib (AZD1152-H	0.00000996	M
K15	DMS53	Barasertib (AZD1152-H	0.00000249	M
K16	DMS53	Barasertib (AZD1152-H	6.23e-7	M
K17	DMS53	Barasertib (AZD1152-H	1.56e-7	M
K18	DMS53	Barasertib (AZD1152-H	3.89e-8	M
K19	DMS53	Barasertib (AZD1152-H	9.34e-9	M
