well	cell.line	drug1	drug1.conc	drug1.units
A01				M
A02				M
A03				M
A04				M
A05				M
A06				M
A07				M
A08				M
A09				M
A10				M
A11				M
A12				M
A13				M
A14				M
A15				M
A16				M
A17				M
A18				M
A19				M
A20				M
A21				M
A22				M
A23				M
A24				M
B01				M
B02				M
B03				M
B04				M
B05				M
B06				M
B07				M
B08				M
B09				M
B10				M
B11				M
B12				M
B13				M
B14				M
B15				M
B16				M
B17				M
B18				M
B19				M
B20				M
B21				M
B22				M
B23				M
B24				M
C01				M
C02	WM88	TAK-901	0	M
C03	WM88	TAK-901	0.00000996	M
C04	WM88	TAK-901	0.00000249	M
C05	WM88	TAK-901	6.23e-7	M
C06	WM88	TAK-901	1.56e-7	M
C07	WM88	TAK-901	3.89e-8	M
C08	WM88	TAK-901	9.34e-9	M
C09	WM88	TAK-901	2.33e-9	M
C10	WM88	TAK-901	6.23e-10	M
C11	WM88	TAK-901	1.56e-10	M
C12	WM88	TAK-901	7.78e-11	M
C13	WM88	Barasertib (AZD1152-H	0	M
C14	WM88	Barasertib (AZD1152-H	0.00000996	M
C15	WM88	Barasertib (AZD1152-H	0.00000249	M
C16	WM88	Barasertib (AZD1152-H	6.23e-7	M
C17	WM88	Barasertib (AZD1152-H	1.56e-7	M
C18	WM88	Barasertib (AZD1152-H	3.89e-8	M
C19	WM88	Barasertib (AZD1152-H	9.34e-9	M
C20	WM88	Barasertib (AZD1152-H	2.33e-9	M
C21	WM88	Barasertib (AZD1152-H	6.23e-10	M
C22	WM88	Barasertib (AZD1152-H	1.56e-10	M
C23	WM88	Barasertib (AZD1152-H	7.78e-11	M
C24				M
D01				M
D02	WM88	SCH-1473759	0	M
D03	WM88	SCH-1473759	0.00000996	M
D04	WM88	SCH-1473759	0.00000249	M
D05	WM88	SCH-1473759	6.23e-7	M
D06	WM88	SCH-1473759	1.56e-7	M
D07	WM88	SCH-1473759	3.89e-8	M
D08	WM88	SCH-1473759	9.34e-9	M
D09	WM88	SCH-1473759	2.33e-9	M
D10	WM88	SCH-1473759	6.23e-10	M
D11	WM88	SCH-1473759	1.56e-10	M
D12	WM88	SCH-1473759	7.78e-11	M
D13	WM88	SNS-314	0	M
D14	WM88	SNS-314	0.00000996	M
D15	WM88	SNS-314	0.00000249	M
D16	WM88	SNS-314	6.23e-7	M
D17	WM88	SNS-314	1.56e-7	M
D18	WM88	SNS-314	3.89e-8	M
D19	WM88	SNS-314	9.34e-9	M
D20	WM88	SNS-314	2.33e-9	M
D21	WM88	SNS-314	6.23e-10	M
D22	WM88	SNS-314	1.56e-10	M
D23	WM88	SNS-314	7.78e-11	M
D24				M
E01				M
E02	WM88	YM-155	0	M
E03	WM88	YM-155	0.00000996	M
E04	WM88	YM-155	0.00000249	M
E05	WM88	YM-155	6.23e-7	M
E06	WM88	YM-155	1.56e-7	M
E07	WM88	YM-155	3.89e-8	M
E08	WM88	YM-155	9.34e-9	M
E09	WM88	YM-155	2.33e-9	M
E10	WM88	YM-155	6.23e-10	M
E11	WM88	YM-155	1.56e-10	M
E12	WM88	YM-155	7.78e-11	M
E13	WM88	SNS-314	0	M
E14	WM88	SNS-314	0.00000996	M
E15	WM88	SNS-314	0.00000249	M
E16	WM88	SNS-314	6.23e-7	M
E17	WM88	SNS-314	1.56e-7	M
E18	WM88	SNS-314	3.89e-8	M
E19	WM88	SNS-314	9.34e-9	M
E20	WM88	SNS-314	2.33e-9	M
E21	WM88	SNS-314	6.23e-10	M
E22	WM88	SNS-314	1.56e-10	M
E23	WM88	SNS-314	7.78e-11	M
E24				M
F01				M
F02	WM88	vemurafenib	0	M
F03	WM88	vemurafenib	0.00000996	M
F04	WM88	vemurafenib	0.00000249	M
F05	WM88	vemurafenib	6.23e-7	M
F06	WM88	vemurafenib	1.56e-7	M
F07	WM88	vemurafenib	3.89e-8	M
F08	WM88	vemurafenib	9.34e-9	M
F09	WM88	vemurafenib	2.33e-9	M
F10	WM88	vemurafenib	6.23e-10	M
F11	WM88	vemurafenib	1.56e-10	M
F12	WM88	vemurafenib	7.78e-11	M
F13	WM88	hygromycin_b	0	M
F14	WM88	hygromycin_b	0.00000996	M
F15	WM88	hygromycin_b	0.00000249	M
F16	WM88	hygromycin_b	6.23e-7	M
F17	WM88	hygromycin_b	1.56e-7	M
F18	WM88	hygromycin_b	3.89e-8	M
F19	WM88	hygromycin_b	9.34e-9	M
F20	WM88	hygromycin_b	2.33e-9	M
F21	WM88	hygromycin_b	6.23e-10	M
F22	WM88	hygromycin_b	1.56e-10	M
F23	WM88	hygromycin_b	7.78e-11	M
F24				M
G01				M
G02	WM88	TAK-901	0	M
G03	WM88	TAK-901	0.00000996	M
G04	WM88	TAK-901	0.00000249	M
G05	WM88	TAK-901	6.23e-7	M
G06	WM88	TAK-901	1.56e-7	M
G07	WM88	TAK-901	3.89e-8	M
G08	WM88	TAK-901	9.34e-9	M
G09	WM88	TAK-901	2.33e-9	M
G10	WM88	TAK-901	6.23e-10	M
G11	WM88	TAK-901	1.56e-10	M
G12	WM88	TAK-901	7.78e-11	M
G13	WM88	Barasertib (AZD1152-H	0	M
G14	WM88	Barasertib (AZD1152-H	0.00000996	M
G15	WM88	Barasertib (AZD1152-H	0.00000249	M
G16	WM88	Barasertib (AZD1152-H	6.23e-7	M
G17	WM88	Barasertib (AZD1152-H	1.56e-7	M
G18	WM88	Barasertib (AZD1152-H	3.89e-8	M
G19	WM88	Barasertib (AZD1152-H	9.34e-9	M
G20	WM88	Barasertib (AZD1152-H	2.33e-9	M
G21	WM88	Barasertib (AZD1152-H	6.23e-10	M
G22	WM88	Barasertib (AZD1152-H	1.56e-10	M
G23	WM88	Barasertib (AZD1152-H	7.78e-11	M
G24				M
H01				M
H02	WM88	SCH-1473759	0	M
H03	WM88	SCH-1473759	0.00000996	M
H04	WM88	SCH-1473759	0.00000249	M
H05	WM88	SCH-1473759	6.23e-7	M
H06	WM88	SCH-1473759	1.56e-7	M
H07	WM88	SCH-1473759	3.89e-8	M
H08	WM88	SCH-1473759	9.34e-9	M
H09	WM88	SCH-1473759	2.33e-9	M
H10	WM88	SCH-1473759	6.23e-10	M
H11	WM88	SCH-1473759	1.56e-10	M
H12	WM88	SCH-1473759	7.78e-11	M
H13	WM88	SNS-314	0	M
H14	WM88	SNS-314	0.00000996	M
H15	WM88	SNS-314	0.00000249	M
H16	WM88	SNS-314	6.23e-7	M
H17	WM88	SNS-314	1.56e-7	M
H18	WM88	SNS-314	3.89e-8	M
H19	WM88	SNS-314	9.34e-9	M
H20	WM88	SNS-314	2.33e-9	M
H21	WM88	SNS-314	6.23e-10	M
H22	WM88	SNS-314	1.56e-10	M
H23	WM88	SNS-314	7.78e-11	M
H24				M
I01				M
I02	WM88	YM-155	0	M
I03	WM88	YM-155	0.00000996	M
I04	WM88	YM-155	0.00000249	M
I05	WM88	YM-155	6.23e-7	M
I06	WM88	YM-155	1.56e-7	M
I07	WM88	YM-155	3.89e-8	M
I08	WM88	YM-155	9.34e-9	M
I09	WM88	YM-155	2.33e-9	M
I10	WM88	YM-155	6.23e-10	M
I11	WM88	YM-155	1.56e-10	M
I12	WM88	YM-155	7.78e-11	M
I13	WM88	SNS-314	0	M
I14	WM88	SNS-314	0.00000996	M
I15	WM88	SNS-314	0.00000249	M
I16	WM88	SNS-314	6.23e-7	M
I17	WM88	SNS-314	1.56e-7	M
I18	WM88	SNS-314	3.89e-8	M
I19	WM88	SNS-314	9.34e-9	M
I20	WM88	SNS-314	2.33e-9	M
I21	WM88	SNS-314	6.23e-10	M
I22	WM88	SNS-314	1.56e-10	M
I23	WM88	SNS-314	7.78e-11	M
I24				M
J01				M
J02	WM88	vemurafenib	0	M
J03	WM88	vemurafenib	0.00000996	M
J04	WM88	vemurafenib	0.00000249	M
J05	WM88	vemurafenib	6.23e-7	M
J06	WM88	vemurafenib	1.56e-7	M
J07	WM88	vemurafenib	3.89e-8	M
J08	WM88	vemurafenib	9.34e-9	M
J09	WM88	vemurafenib	2.33e-9	M
J10	WM88	vemurafenib	6.23e-10	M
J11	WM88	vemurafenib	1.56e-10	M
J12	WM88	vemurafenib	7.78e-11	M
J13	WM88	hygromycin_b	0	M
J14	WM88	hygromycin_b	0.00000996	M
J15	WM88	hygromycin_b	0.00000249	M
J16	WM88	hygromycin_b	6.23e-7	M
J17	WM88	hygromycin_b	1.56e-7	M
J18	WM88	hygromycin_b	3.89e-8	M
J19	WM88	hygromycin_b	9.34e-9	M
J20	WM88	hygromycin_b	2.33e-9	M
J21	WM88	hygromycin_b	6.23e-10	M
J22	WM88	hygromycin_b	1.56e-10	M
J23	WM88	hygromycin_b	7.78e-11	M
J24				M
K01				M
K02	WM88	TAK-901	0	M
K03	WM88	TAK-901	0.00000996	M
K04	WM88	TAK-901	0.00000249	M
K05	WM88	TAK-901	6.23e-7	M
K06	WM88	TAK-901	1.56e-7	M
K07	WM88	TAK-901	3.89e-8	M
K08	WM88	TAK-901	9.34e-9	M
K09	WM88	TAK-901	2.33e-9	M
K10	WM88	TAK-901	6.23e-10	M
K11	WM88	TAK-901	1.56e-10	M
K12	WM88	TAK-901	7.78e-11	M
K13	WM88	Barasertib (AZD1152-H	0	M
K14	WM88	Barasertib (AZD1152-H	0.00000996	M
K15	WM88	Barasertib (AZD1152-H	0.00000249	M
K16	WM88	Barasertib (AZD1152-H	6.23e-7	M
K17	WM88	Barasertib (AZD1152-H	1.56e-7	M
K18	WM88	Barasertib (AZD1152-H	3.89e-8	M
K19	WM88	Barasertib (AZD1152-H	9.34e-9	M
K20	WM88	Barasertib (AZD1152-H	2.33e-9	M
K21	WM88	Barasertib (AZD1152-H	6.23e-10	M
K22	WM88	Barasertib (AZD1152-H	1.56e-10	M
K23	WM88	Barasertib (AZD1152-H	7.78e-11	M
K24				M
L01				M
L02	WM88	SCH-1473759	0	M
L03	WM88	SCH-1473759	0.00000996	M
L04	WM88	SCH-1473759	0.00000249	M
